session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
60ddbacc6c32b154459c2bfd,60d5e3e57d6c03483c8bb2ec,APPROVED,2021-07-01 12:53:33.594000,2021-07-01 13:00:20.185000,406.591,28,173,0,100,2021-07-01 13:00:20.523000,7B074E4C,United States,United States,Full-Time,English,United States,Male,No
60ddbb578b990598e79542f5,59ba2a6e6495ef00019fbd70,APPROVED,2021-07-01 12:55:53.721000,2021-07-01 13:12:42.373000,1008.652,55,1853,3,100,2021-07-01 13:12:42.668000,7B074E4C,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
60ddcb4f6b62f2a6ff9d7966,60c81a232837d9f7d4a641bf,APPROVED,2021-07-01 14:04:02.363000,2021-07-01 14:10:58.663000,416.3,50,194,0,100,2021-07-01 14:10:58.935000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60ddcddc0e6a2bbb48a4eb4a,60d131aaeb98fdd9a8567d2f,APPROVED,2021-07-01 14:14:53.830000,2021-07-01 14:18:17.530000,203.7,28,141,1,100,2021-07-01 14:18:17.919000,7B074E4C,United States,United States,Due to start a new job within the next month,English,United States,Female,No
60dde1a7de9feb7735fa8cf5,60bbba1662529ae59d1c55cf,RETURNED,2021-07-01 15:39:21.774000,,631510.722485,27,134,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60dde5c7f60b0d4d3a66a5ee,5f1ab9a207a946000a34f34b,APPROVED,2021-07-01 15:56:58.933000,2021-07-01 16:00:33.597000,214.664,36,335,2,100,2021-07-01 16:00:35.081000,7B074E4C,United States,United States,Full-Time,English,United States,Female,Yes
60dde6706070620e57a838bc,5dde8961a4aa26f2f73d785b,APPROVED,2021-07-01 15:59:48.580000,2021-07-01 16:11:39.706000,711.126,53,944,1,100,2021-07-01 16:11:40.167000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60ddedd08f5ab4cb8de9416c,60d753b2c874004dc6fdb6fc,APPROVED,2021-07-01 16:31:16.171000,2021-07-01 16:40:26.600000,550.429,46,107,0,100,2021-07-01 16:40:26.914000,7B074E4C,United States,United States,Full-Time,English,United States,Female,Yes
60ddf743343d8237e2a4ad67,5fdfddcead8fba8c7e5dd479,APPROVED,2021-07-01 17:11:56.669000,2021-07-01 17:21:10.053000,553.384,32,196,0,100,2021-07-01 17:21:10.383000,7B074E4C,United States,United States,Full-Time,English,United States,Male,No
60de05c0466abc3d61e194ba,5fff0eb8fa9eac64dfee12f0,APPROVED,2021-07-01 18:13:23.425000,2021-07-01 18:18:26.550000,303.125,25,157,0,100,2021-07-01 18:18:26.955000,7B074E4C,United States,United States,Unemployed (and job seeking),English,United States,Female,No
60de0a789eec744c16fecc8b,60d4d77da13bc15e94700490,APPROVED,2021-07-01 18:33:31.520000,2021-07-01 18:49:34.513000,962.993,28,46,0,100,2021-07-01 18:49:34.862000,7B074E4C,United States,United States,Full-Time,English,United States,Male,No
60de10acd58d820fb6e387e8,5e31740eb3f28315c5e0d347,RETURNED,2021-07-01 18:59:58.440000,,619474.207475,29,126,2,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60de1eb12685d15573986278,60ce7b2f8fb53a2ea1d6da31,APPROVED,2021-07-01 20:00:17.458000,2021-07-01 20:14:29.616000,852.158,39,109,0,100,2021-07-01 20:14:29.936000,7B074E4C,DATA EXPIRED,United States,Full-Time,English,United States,Male,No
60de5271d9d6dcc9ab21e543,60d7ffc194d4e42232c97ee9,APPROVED,2021-07-01 23:40:36.890000,2021-07-01 23:48:31.964000,475.074,27,115,1,100,2021-07-01 23:48:32.255000,7B074E4C,United States,United States,Full-Time,English,United States,Female,Yes
60de5cbd3b526b3613fa16be,5eea404ec3494f10be3ff5a8,APPROVED,2021-07-02 00:24:31.627000,2021-07-02 00:31:02.288000,390.661,29,614,1,100,2021-07-02 00:31:02.600000,7B074E4C,United States,United States,DATA EXPIRED,English,United States,Female,No
60de64db496e389e124f362b,5b774f493c1375000197ad11,APPROVED,2021-07-02 00:59:09.546000,2021-07-02 01:05:04.584000,355.038,28,1100,4,100,2021-07-02 01:05:04.875000,7B074E4C,United States,United States,Part-Time,English,United States,Female,DATA EXPIRED
60de751631f40ca61db56944,60d6afdb2f647262643f02d4,APPROVED,2021-07-02 02:08:40.535000,2021-07-02 02:27:07.987000,1107.452,33,83,0,100,2021-07-02 02:27:08.259000,7B074E4C,DATA EXPIRED,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,DATA EXPIRED
60de7595f9cc8ce0e5153da6,5f1ca7c9d3db3c11895ba1fa,APPROVED,2021-07-02 02:10:33.098000,2021-07-02 02:15:57.557000,324.459,32,351,2,99,2021-07-02 02:15:57.829000,7B074E4C,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
60de8c9ac745b89853afac02,57db16a1a4e40600014e9040,APPROVED,2021-07-02 03:48:44.800000,2021-07-02 03:57:23.990000,519.19,40,939,5,100,2021-07-02 03:57:24.263000,7B074E4C,United States,United States,DATA EXPIRED,English,United States,Female,DATA EXPIRED
60dea568547ac984e9c17919,60d24258d3e6fc56fe4b8e76,APPROVED,2021-07-02 05:34:35.808000,2021-07-02 05:54:33.080000,1197.272,32,93,0,100,2021-07-02 05:54:33.355000,7B074E4C,DATA EXPIRED,United States,Full-Time,English,United States,Male,No
60dea86d3bec453c10131068,60c998ac5ae9910f04e38767,APPROVED,2021-07-02 05:47:55.438000,2021-07-02 06:20:07.728000,1932.29,33,58,0,100,2021-07-02 06:20:07.988000,7B074E4C,DATA EXPIRED,United States,Full-Time,English,United States,Male,No
60dea880b2da323a0ce19708,60ca367de0f332a7abd5771e,APPROVED,2021-07-02 05:47:50.754000,2021-07-02 06:20:16.811000,1946.057,31,55,0,100,2021-07-02 06:20:17.120000,7B074E4C,DATA EXPIRED,United States,Full-Time,DATA EXPIRED,United States,Male,No
60dead8071f7a40143eddc56,60ca81cf57e2df99deee472c,APPROVED,2021-07-02 06:09:08.285000,2021-07-02 06:20:30.295000,682.01,43,122,0,100,2021-07-02 06:20:30.657000,7B074E4C,United States,United States,Full-Time,English,United States,Female,DATA EXPIRED
60dead8dac0630d3622858ae,60b3e7156c6b8b6e642942e1,APPROVED,2021-07-02 06:09:21.066000,2021-07-02 06:19:53.803000,632.737,37,135,0,100,2021-07-02 06:19:54.077000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60dedd8b1e9c6f8623dc25d4,60d6817f8e56be12139c0136,APPROVED,2021-07-02 09:34:03.496000,2021-07-02 09:47:06.257000,782.761,28,28,2,96,2021-07-02 09:47:06.551000,7B074E4C,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
60deea7802db94ab36d454e5,60cde662c44c5642de426613,APPROVED,2021-07-02 10:29:18.056000,2021-07-02 10:32:49.213000,211.157,40,113,2,99,2021-07-02 10:32:49.524000,7B074E4C,DATA EXPIRED,United States,Full-Time,English,United States,Male,No
60df245055280a885a8203e3,5dc36b196c76b327ca120b23,APPROVED,2021-07-02 14:36:04.533000,2021-07-02 14:47:46.818000,702.285,30,254,0,100,2021-07-02 14:47:47.177000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60df2a63f4114a0d8ee2c1e6,60d7d5dc074e8bc367732eb6,APPROVED,2021-07-02 15:02:09.322000,2021-07-02 15:07:07.795000,298.473,40,126,0,100,2021-07-02 15:07:08.228000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60df33e1b80751a387c250a0,60d79078ae2f81125c7eebe7,APPROVED,2021-07-02 15:42:29.320000,2021-07-02 15:47:59.984000,330.664,34,20,1,99,2021-07-02 15:48:00.261000,7B074E4C,DATA EXPIRED,United States,Part-Time,English,United States,Male,DATA EXPIRED
60df44e5ec36828f7b93fe85,5ef578711f51161d8f046c8d,APPROVED,2021-07-02 16:55:03.828000,2021-07-02 17:02:22.120000,438.292,33,177,0,100,2021-07-02 17:02:22.416000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60df4c2c199d3d44ddbc56eb,60d4ce7e7a264bfaef83db2e,APPROVED,2021-07-02 17:26:04.487000,2021-07-02 17:38:30.719000,746.232,54,13,0,100,2021-07-02 17:38:31.033000,7B074E4C,United States,United States,Full-Time,English,United States,Male,No
60df6ae4372212a958f5d347,60c47cee447c214c12409f7a,APPROVED,2021-07-02 19:37:11.245000,2021-07-02 19:53:28.533000,977.288,36,46,0,100,2021-07-02 19:53:28.824000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60df923d93169c2edd44ee3e,60cf3544022c2a456917157d,APPROVED,2021-07-02 22:25:06.621000,2021-07-02 22:26:41.914000,95.293,30,51,1,100,2021-07-02 22:26:42.205000,7B074E4C,DATA EXPIRED,United States,Full-Time,English,United States,Female,Yes
60df92beb930589ad003eaf6,5be33a3fdd850e0001d2c600,RETURNED,2021-07-02 22:27:56.451000,,520596.735269,43,272,3,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60df98016db13fe1f82fd6a6,60d7de8c5f5bcb8332d5e1a0,APPROVED,2021-07-02 22:49:41.351000,2021-07-02 23:02:52.460000,791.109,67,52,0,100,2021-07-02 23:02:52.755000,7B074E4C,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
60dfa0367c3e85855f93df5f,60ca149b0d1101d5661ed118,APPROVED,2021-07-02 23:24:41.862000,2021-07-02 23:30:29.374000,347.512,29,46,0,100,2021-07-02 23:30:29.669000,7B074E4C,United States,United States,Part-Time,English,United States,Male,No
60dfc58bfad462ee0aecac70,558980cdfdf99b7ae47f5a75,APPROVED,2021-07-03 02:04:01.340000,2021-07-03 02:11:25.526000,444.186,33,406,2,100,2021-07-03 02:11:25.778000,7B074E4C,United States,United States,DATA EXPIRED,English,United States,Male,DATA EXPIRED
60dfcb59dcd93fa4a9090fec,5f4a187b40b01f589fe766eb,APPROVED,2021-07-03 02:28:44.088000,2021-07-03 02:34:55.740000,371.652,32,98,0,100,2021-07-03 02:34:56.017000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60dfddd485e1ef1bf6ad47c8,60d097182810e834e27124dd,APPROVED,2021-07-03 03:47:34.636000,2021-07-03 03:58:37.730000,663.094,52,103,0,100,2021-07-03 03:58:38.092000,7B074E4C,United States,United States,Full-Time,English,United States,Female,No
60e05bd48147a0f069024518,60935e181d125baf801d03ff,APPROVED,2021-07-03 12:45:08.841000,2021-07-03 12:50:46.742000,337.901,72,63,0,100,2021-07-03 12:50:47.090000,Nocode,United States,United States,Unemployed (and job seeking),English,United States,Male,No
60e0626edbccdfed6401de63,60cd566fc6317ffe655a366d,RETURNED,2021-07-03 13:13:22.806000,,467470.529127,36,163,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60e073b26028adeff364df5e,60d273e0837882205f7c4809,RETURNED,2021-07-03 14:27:05.468000,,463047.884611,34,73,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60e08ef67999c9ba25580591,60c969c12749ced10866921d,APPROVED,2021-07-03 16:23:23.326000,2021-07-03 16:34:00.834000,637.508,59,157,0,100,2021-07-03 16:34:01.101000,7B074E4C,United States,United States,Full-Time,English,United States,Male,No
60e0af936762690111fe9fa4,5f4f778a54658b022d7dd2f4,APPROVED,2021-07-03 18:42:30.140000,2021-07-03 18:51:17.358000,527.218,25,253,0,100,2021-07-03 18:51:17.617000,7B074E4C,United States,United States,Part-Time,English,United States,Male,No
